Neighborhood,Sector #,Pop. 1940,Pop. 1950,Pop. 1960,Pop. 1970,Pop. 1980,Pop. 1990,Pop. 2000,Pop. 2010,% Pop. Change 60-70,% Pop. Change 70-80,% Pop. Change 80-90,% Pop. Change 90-00,% Pop. Change 00-10,Pop. as % of City total (2010),Land Area (sq. mi),Land Area (acres),Persons / sq. mi (2010),Persons / sq. mi (2000),Persons / acre (2010),Persons / acre (2000),% African American (2010),% Asian (2010),% Other (2010),% White (2010),% 2+ Races (2010),% Hispanic (of any race) (2010),% Pop. Age < 5 (2010),% Pop. Age 5-19 (2010),% Pop. Age 20-34 (2010),% Pop. Age 35-59 (2010),% Pop. Age 60-74 (2010),% Pop. Age > 75 (2010)
East Hills,11.00 ,4113.00 ,3929.00 ,3761.00 ,5303.00 ,5636.00 ,4505.00 ,3951.00 ,3169.00 ,0.41 ,0.06 ,(0.20),(0.12),(0.20),0.01 ,0.50 ,346.20 ,5857.70 ,7303.10 ,9.20 ,11.40 ,0.93 ,0.00 ,0.01 ,0.02 ,0.03 ,0.01 ,0.08 ,0.29 ,0.13 ,0.26 ,0.16 ,0.08 
East Liberty,12.00 ,13754.00 ,14954.00 ,12005.00 ,8647.00 ,8741.00 ,7973.00 ,6871.00 ,5869.00 ,(0.28),0.01 ,(0.09),(0.14),(0.15),0.02 ,0.60 ,371.80 ,10101.50 ,11826.20 ,15.80 ,18.50 ,0.68 ,0.03 ,0.01 ,0.25 ,0.03 ,0.02 ,0.07 ,0.17 ,0.26 ,0.28 ,0.09 ,0.13 
Elliott,4.00 ,6814.00 ,6340.00 ,5622.00 ,4841.00 ,3832.00 ,3104.00 ,2954.00 ,2381.00 ,(0.14),(0.21),(0.19),(0.05),(0.19),0.01 ,0.60 ,387.80 ,3929.00 ,4874.60 ,6.10 ,7.60 ,0.30 ,0.01 ,0.01 ,0.66 ,0.03 ,0.02 ,0.02 ,0.32 ,0.07 ,0.42 ,0.10 ,0.08 
Esplen,4.00 ,1708.00 ,1624.00 ,1325.00 ,1073.00 ,782.00 ,599.00 ,495.00 ,301.00 ,(0.19),(0.27),(0.23),(0.17),(0.39),0.00 ,0.20 ,147.20 ,1308.70 ,2152.20 ,2.00 ,3.40 ,0.30 ,0.01 ,0.02 ,0.65 ,0.02 ,0.01 ,0.15 ,0.16 ,0.07 ,0.47 ,0.15 ,0.00 
Fairywood,4.00 ,1324.00 ,4491.00 ,3819.00 ,3240.00 ,3008.00 ,2951.00 ,1099.00 ,1002.00 ,(0.15),(0.07),(0.02),(0.63),(0.09),0.00 ,1.00 ,620.20 ,1034.10 ,1134.20 ,1.60 ,1.80 ,0.28 ,0.02 ,0.02 ,0.63 ,0.05 ,0.05 ,0.12 ,0.24 ,0.20 ,0.25 ,0.19 ,0.00 
Fineview,3.00 ,4192.00 ,4997.00 ,4305.00 ,3463.00 ,2398.00 ,1907.00 ,1751.00 ,1285.00 ,(0.20),(0.31),(0.20),(0.08),(0.27),0.00 ,0.30 ,160.00 ,5140.00 ,7004.00 ,8.00 ,10.90 ,0.52 ,0.00 ,0.01 ,0.44 ,0.03 ,0.02 ,0.12 ,0.15 ,0.20 ,0.32 ,0.16 ,0.04 
Friendship,12.00 ,2357.00 ,2852.00 ,2362.00 ,2136.00 ,2148.00 ,1976.00 ,1791.00 ,1785.00 ,(0.10),0.01 ,(0.08),(0.09),(0.00),0.01 ,0.10 ,67.80 ,16839.60 ,16896.20 ,26.30 ,26.40 ,0.20 ,0.13 ,0.02 ,0.63 ,0.02 ,0.04 ,0.04 ,0.07 ,0.50 ,0.27 ,0.08 ,0.04 
Garfield,12.00 ,11133.00 ,11283.00 ,9455.00 ,10246.00 ,7536.00 ,6327.00 ,5450.00 ,3675.00 ,0.08 ,(0.26),(0.16),(0.14),(0.33),0.01 ,0.50 ,292.50 ,8041.60 ,11925.60 ,12.60 ,18.60 ,0.80 ,0.03 ,0.01 ,0.14 ,0.03 ,0.01 ,0.02 ,0.32 ,0.19 ,0.32 ,0.12 ,0.04 
Glen Hazel,9.00 ,3915.00 ,5575.00 ,4135.00 ,1523.00 ,607.00 ,793.00 ,805.00 ,716.00 ,(0.63),(0.60),0.31 ,0.02 ,(0.11),0.00 ,0.50 ,291.80 ,1570.20 ,1765.40 ,2.50 ,2.80 ,0.68 ,0.00 ,0.01 ,0.29 ,0.02 ,0.01 ,0.06 ,0.20 ,0.08 ,0.24 ,0.12 ,0.30 
Greenfield,9.00 ,14111.00 ,13952.00 ,12984.00 ,12234.00 ,9873.00 ,8485.00 ,7832.00 ,7294.00 ,(0.06),(0.19),(0.14),(0.08),(0.07),0.02 ,0.80 ,494.70 ,9436.00 ,10132.00 ,14.70 ,15.80 ,0.04 ,0.04 ,0.01 ,0.88 ,0.02 ,0.03 ,0.04 ,0.13 ,0.31 ,0.31 ,0.13 ,0.08 
Hays,8.00 ,2238.00 ,1897.00 ,1556.00 ,955.00 ,679.00 ,537.00 ,457.00 ,362.00 ,(0.39),(0.29),(0.21),(0.15),(0.21),0.00 ,1.80 ,1120.00 ,206.90 ,261.10 ,0.30 ,0.40 ,0.07 ,0.02 ,0.00 ,0.88 ,0.03 ,0.04 ,0.20 ,0.06 ,0.17 ,0.28 ,0.14 ,0.16 
Hazelwood,9.00 ,11571.00 ,12371.00 ,12757.00 ,9937.00 ,7968.00 ,6456.00 ,5334.00 ,4317.00 ,(0.22),(0.20),(0.19),(0.17),(0.19),0.01 ,1.60 ,1013.10 ,2727.10 ,3369.60 ,4.30 ,5.30 ,0.41 ,0.02 ,0.01 ,0.54 ,0.03 ,0.02 ,0.04 ,0.20 ,0.16 ,0.36 ,0.14 ,0.09 
Highland Park,12.00 ,8960.00 ,10239.00 ,9805.00 ,9223.00 ,8032.00 ,7029.00 ,6749.00 ,6395.00 ,(0.06),(0.13),(0.12),(0.04),(0.05),0.02 ,1.20 ,744.30 ,5498.70 ,5803.10 ,8.60 ,9.10 ,0.26 ,0.03 ,0.01 ,0.67 ,0.03 ,0.03 ,0.07 ,0.12 ,0.26 ,0.39 ,0.11 ,0.05 
Homewood North,11.00 ,13599.00 ,13316.00 ,11775.00 ,8645.00 ,7057.00 ,5331.00 ,4522.00 ,3280.00 ,(0.27),(0.18),(0.24),(0.15),(0.27),0.01 ,0.40 ,277.80 ,7557.60 ,10419.40 ,11.80 ,16.30 ,0.93 ,0.00 ,0.02 ,0.02 ,0.03 ,0.02 ,0.09 ,0.26 ,0.14 ,0.35 ,0.10 ,0.06 
Homewood South,11.00 ,13022.00 ,12610.00 ,22463.00 ,8876.00 ,6228.00 ,4811.00 ,3647.00 ,2344.00 ,(0.60),(0.30),(0.23),(0.24),(0.36),0.01 ,0.40 ,254.70 ,5889.40 ,9163.30 ,9.20 ,14.30 ,0.95 ,0.00 ,0.01 ,0.02 ,0.02 ,0.01 ,0.10 ,0.13 ,0.11 ,0.32 ,0.19 ,0.15 
Homewood West,11.00 ,4369.00 ,4309.00 ,3733.00 ,2745.00 ,1873.00 ,1369.00 ,1114.00 ,818.00 ,(0.26),(0.32),(0.27),(0.19),(0.27),0.00 ,0.20 ,127.40 ,4110.60 ,5598.00 ,6.40 ,8.70 ,0.96 ,0.00 ,0.00 ,0.02 ,0.01 ,0.01 ,0.05 ,0.25 ,0.12 ,0.25 ,0.20 ,0.12 
Knoxville,6.00 ,8024.00 ,7867.00 ,7353.00 ,6527.00 ,5524.00 ,4971.00 ,4432.00 ,3747.00 ,(0.11),(0.15),(0.10),(0.11),(0.15),0.01 ,0.30 ,193.30 ,12407.30 ,14675.50 ,19.40 ,22.90 ,0.52 ,0.01 ,0.01 ,0.43 ,0.04 ,0.01 ,0.08 ,0.28 ,0.15 ,0.34 ,0.10 ,0.06 
Larimer,12.00 ,13338.00 ,12102.00 ,9457.00 ,7397.00 ,5044.00 ,3992.00 ,2602.00 ,1728.00 ,(0.22),(0.32),(0.21),(0.35),(0.34),0.01 ,0.40 ,284.80 ,3883.10 ,5847.20 ,6.10 ,9.10 ,0.86 ,0.01 ,0.01 ,0.09 ,0.03 ,0.02 ,0.06 ,0.18 ,0.15 ,0.34 ,0.09 ,0.18 
Lincoln Place,8.00 ,3249.00 ,4187.00 ,5434.00 ,5300.00 ,4619.00 ,3841.00 ,3671.00 ,3227.00 ,(0.02),(0.13),(0.17),(0.04),(0.12),0.01 ,1.00 ,629.80 ,3279.50 ,3730.70 ,5.10 ,5.80 ,0.01 ,0.00 ,0.00 ,0.97 ,0.01 ,0.01 ,0.06 ,0.13 ,0.19 ,0.38 ,0.13 ,0.09 
Lincoln-Lemington-Belmar,11.00 ,9591.00 ,9367.00 ,10475.00 ,9468.00 ,8061.00 ,6644.00 ,5550.00 ,4883.00 ,(0.10),(0.15),(0.18),(0.16),(0.12),0.02 ,1.80 ,1159.70 ,2694.80 ,3062.90 ,4.20 ,4.80 ,0.79 ,0.02 ,0.01 ,0.16 ,0.02 ,0.01 ,0.05 ,0.27 ,0.18 ,0.29 ,0.09 ,0.11 
Lower Lawrenceville,13.00 ,9036.00 ,7899.00 ,5338.00 ,4536.00 ,3602.00 ,2650.00 ,2585.00 ,2341.00 ,(0.15),(0.21),(0.26),(0.02),(0.09),0.01 ,0.40 ,275.20 ,5444.20 ,6011.60 ,8.50 ,9.40 ,0.23 ,0.03 ,0.01 ,0.70 ,0.02 ,0.01 ,0.06 ,0.12 ,0.33 ,0.29 ,0.08 ,0.12 
Manchester,3.00 ,11797.00 ,10958.00 ,8528.00 ,4778.00 ,2812.00 ,3077.00 ,2506.00 ,2130.00 ,(0.44),(0.41),0.09 ,(0.19),(0.15),0.01 ,0.30 ,178.60 ,7634.40 ,8982.10 ,11.90 ,14.00 ,0.80 ,0.01 ,0.01 ,0.16 ,0.03 ,0.01 ,0.05 ,0.29 ,0.14 ,0.36 ,0.12 ,0.04 
Marshall-Shadeland,2.00 ,15944.00 ,14183.00 ,12038.00 ,9013.00 ,7550.00 ,7903.00 ,6951.00 ,6043.00 ,(0.25),(0.16),0.05 ,(0.12),(0.13),0.02 ,1.30 ,802.60 ,4819.00 ,5543.10 ,7.50 ,8.70 ,0.43 ,0.00 ,0.03 ,0.51 ,0.02 ,0.03 ,0.05 ,0.21 ,0.19 ,0.40 ,0.09 ,0.07 
Middle Hill,15.00 ,17029.00 ,14929.00 ,11849.00 ,7681.00 ,4262.00 ,2829.00 ,2143.00 ,1707.00 ,(0.35),(0.45),(0.34),(0.24),(0.20),0.01 ,0.30 ,195.20 ,5596.70 ,7026.20 ,8.70 ,11.00 ,0.94 ,0.00 ,0.00 ,0.04 ,0.02 ,0.01 ,0.04 ,0.15 ,0.13 ,0.37 ,0.22 ,0.08 
Morningside,12.00 ,5997.00 ,6063.00 ,5705.00 ,5294.00 ,4730.00 ,3973.00 ,3549.00 ,3346.00 ,(0.07),(0.11),(0.16),(0.11),(0.06),0.01 ,0.40 ,244.50 ,8759.20 ,9290.60 ,13.70 ,14.50 ,0.17 ,0.01 ,0.01 ,0.79 ,0.02 ,0.02 ,0.06 ,0.14 ,0.25 ,0.34 ,0.12 ,0.09 
Mount Washington,6.00 ,20013.00 ,19060.00 ,17415.00 ,14787.00 ,11795.00 ,10700.00 ,9878.00 ,8799.00 ,(0.15),(0.20),(0.09),(0.08),(0.11),0.03 ,1.10 ,729.60 ,7718.40 ,8664.90 ,12.10 ,13.50 ,0.10 ,0.01 ,0.01 ,0.86 ,0.02 ,0.02 ,0.05 ,0.10 ,0.36 ,0.30 ,0.12 ,0.07 
Mt. Oliver,7.00 ,1448.00 ,1716.00 ,2586.00 ,2185.00 ,716.00 ,620.00 ,584.00 ,509.00 ,(0.16),(0.67),(0.13),(0.06),(0.13),0.00 ,0.10 ,64.00 ,5090.00 ,5840.00 ,8.00 ,9.10 ,0.38 ,0.00 ,0.01 ,0.58 ,0.03 ,0.02 ,0.00 ,0.34 ,0.14 ,0.40 ,0.10 ,0.02 
New Homestead,8.00 ,689.00 ,974.00 ,1105.00 ,1289.00 ,979.00 ,1008.00 ,937.00 ,990.00 ,0.17 ,(0.24),0.03 ,(0.07),0.06 ,0.00 ,0.80 ,508.20 ,1246.90 ,1180.10 ,1.90 ,1.80 ,0.09 ,0.01 ,0.01 ,0.88 ,0.02 ,0.02 ,0.04 ,0.25 ,0.16 ,0.30 ,0.19 ,0.06 
North Oakland,14.00 ,6127.00 ,8063.00 ,7453.00 ,8666.00 ,8708.00 ,10836.00 ,9857.00 ,10551.00 ,0.16 ,0.00 ,0.24 ,(0.09),0.07 ,0.03 ,0.50 ,319.40 ,21144.30 ,19753.50 ,33.00 ,30.90 ,0.08 ,0.15 ,0.01 ,0.73 ,0.03 ,0.03 ,0.01 ,0.40 ,0.38 ,0.08 ,0.07 ,0.07 
North Shore,16.00 ,5152.00 ,3952.00 ,2076.00 ,725.00 ,402.00 ,273.00 ,270.00 ,303.00 ,(0.65),(0.45),(0.32),(0.01),0.12 ,0.00 ,0.30 ,193.90 ,1000.00 ,891.10 ,1.60 ,1.40 ,0.05 ,0.06 ,0.01 ,0.84 ,0.05 ,0.04 ,0.00 ,0.00 ,0.40 ,0.40 ,0.15 ,0.05 
Northview Heights,1.00 ,662.00 ,727.00 ,527.00 ,4561.00 ,3217.00 ,2746.00 ,2526.00 ,1214.00 ,7.65 ,(0.29),(0.15),(0.08),(0.52),0.00 ,0.30 ,200.30 ,3878.60 ,8070.30 ,6.10 ,12.60 ,0.91 ,0.00 ,0.00 ,0.05 ,0.04 ,0.02 ,0.20 ,0.35 ,0.15 ,0.16 ,0.08 ,0.06 
Oakwood,4.00 ,737.00 ,775.00 ,1469.00 ,1882.00 ,1195.00 ,1108.00 ,1028.00 ,1027.00 ,0.28 ,(0.37),(0.07),(0.07),(0.00),0.00 ,0.30 ,161.30 ,4075.40 ,4079.40 ,6.40 ,6.40 ,0.06 ,0.01 ,0.01 ,0.90 ,0.02 ,0.01 ,0.03 ,0.19 ,0.17 ,0.30 ,0.14 ,0.17 
Overbrook,5.00 ,4591.00 ,5278.00 ,6704.00 ,6104.00 ,5143.00 ,4456.00 ,4041.00 ,3644.00 ,(0.09),(0.16),(0.13),(0.09),(0.10),0.01 ,0.80 ,537.00 ,4343.30 ,4816.40 ,6.80 ,7.50 ,0.04 ,0.01 ,0.00 ,0.94 ,0.01 ,0.01 ,0.04 ,0.17 ,0.21 ,0.36 ,0.12 ,0.09 
Perry North,2.00 ,8355.00 ,8354.00 ,7918.00 ,7601.00 ,5878.00 ,4927.00 ,4669.00 ,4050.00 ,(0.04),(0.23),(0.16),(0.05),(0.13),0.01 ,1.20 ,775.70 ,3341.60 ,3852.30 ,5.20 ,6.00 ,0.32 ,0.01 ,0.01 ,0.63 ,0.03 ,0.02 ,0.06 ,0.15 ,0.25 ,0.37 ,0.10 ,0.07 
Perry South,2.00 ,14666.00 ,14462.00 ,12382.00 ,10385.00 ,7355.00 ,6303.00 ,5276.00 ,4145.00 ,(0.16),(0.29),(0.14),(0.16),(0.21),0.01 ,0.90 ,579.20 ,4580.10 ,5829.80 ,7.20 ,9.10 ,0.69 ,0.01 ,0.01 ,0.27 ,0.03 ,0.01 ,0.04 ,0.25 ,0.21 ,0.32 ,0.11 ,0.08 
Point Breeze,10.00 ,7681.00 ,7766.00 ,8057.00 ,7792.00 ,6464.00 ,5909.00 ,5665.00 ,5315.00 ,(0.03),(0.17),(0.09),(0.04),(0.06),0.02 ,1.00 ,642.60 ,5293.80 ,5642.40 ,8.30 ,8.80 ,0.05 ,0.03 ,0.01 ,0.89 ,0.02 ,0.03 ,0.05 ,0.15 ,0.19 ,0.41 ,0.12 ,0.08 
Point Breeze North,11.00 ,3518.00 ,4120.00 ,3552.00 ,3135.00 ,2705.00 ,2513.00 ,2304.00 ,2054.00 ,(0.12),(0.14),(0.07),(0.08),(0.11),0.01 ,0.30 ,183.00 ,7181.80 ,8055.90 ,11.20 ,12.60 ,0.55 ,0.03 ,0.01 ,0.35 ,0.05 ,0.03 ,0.01 ,0.10 ,0.34 ,0.31 ,0.14 ,0.10 
Polish Hill,13.00 ,5880.00 ,4896.00 ,3619.00 ,2709.00 ,1845.00 ,1610.00 ,1488.00 ,1274.00 ,(0.25),(0.32),(0.13),(0.08),(0.14),0.00 ,0.30 ,163.20 ,4996.10 ,5835.30 ,7.80 ,9.10 ,0.12 ,0.01 ,0.01 ,0.83 ,0.03 ,0.02 ,0.01 ,0.07 ,0.25 ,0.45 ,0.09 ,0.13 
Regent Square,10.00 ,1494.00 ,1440.00 ,1339.00 ,1212.00 ,1167.00 ,1090.00 ,1131.00 ,928.00 ,(0.09),(0.04),(0.07),0.04 ,(0.18),0.00 ,0.20 ,122.90 ,4833.30 ,5890.60 ,7.60 ,9.20 ,0.02 ,0.03 ,0.01 ,0.92 ,0.02 ,0.03 ,0.09 ,0.06 ,0.19 ,0.47 ,0.16 ,0.04 
