Neighborhood,Sector #,Pop. 1940,Pop. 1950,Pop. 1960,Pop. 1970,Pop. 1980,Pop. 1990,Pop. 2000,Pop. 2010,% Pop. Change 60-70,% Pop. Change 70-80,% Pop. Change 80-90,% Pop. Change 90-00,% Pop. Change 00-10,Pop. as % of City total (2010),Land Area (sq. mi),Land Area (acres),Persons / sq. mi (2010),Persons / sq. mi (2000),Persons / acre (2010),Persons / acre (2000),% African American (2010),% Asian (2010),% Other (2010),% White (2010),% 2+ Races (2010),% Hispanic (of any race) (2010),% Pop. Age < 5 (2010),% Pop. Age 5-19 (2010),% Pop. Age 20-34 (2010),% Pop. Age 35-59 (2010),% Pop. Age 60-74 (2010),% Pop. Age > 75 (2010)
Strip District,13.00 ,4363.00 ,3207.00 ,1756.00 ,965.00 ,514.00 ,275.00 ,266.00 ,616.00 ,(0.45),(0.47),(0.47),(0.03),1.32 ,0.00 ,0.60 ,389.10 ,1013.20 ,437.50 ,1.60 ,0.70 ,0.16 ,0.06 ,0.00 ,0.76 ,0.02 ,0.02 ,0.00 ,0.06 ,0.30 ,0.36 ,0.17 ,0.11 
Summer Hill,1.00 ,1593.00 ,1728.00 ,2100.00 ,2245.00 ,1518.00 ,1219.00 ,1028.00 ,1051.00 ,0.07 ,(0.32),(0.20),(0.16),0.02 ,0.00 ,0.40 ,281.00 ,2394.10 ,2341.70 ,3.70 ,3.70 ,0.15 ,0.00 ,0.00 ,0.82 ,0.02 ,0.01 ,0.06 ,0.12 ,0.25 ,0.39 ,0.10 ,0.08 
Swisshelm Park,10.00 ,1338.00 ,1486.00 ,2128.00 ,2041.00 ,1697.00 ,1540.00 ,1378.00 ,1361.00 ,(0.04),(0.17),(0.09),(0.11),(0.01),0.00 ,0.50 ,307.20 ,2835.40 ,2870.80 ,4.40 ,4.50 ,0.04 ,0.03 ,0.00 ,0.90 ,0.02 ,0.02 ,0.04 ,0.14 ,0.22 ,0.35 ,0.15 ,0.10 
Terrace Village,15.00 ,4054.00 ,11631.00 ,10520.00 ,7766.00 ,6550.00 ,5073.00 ,2631.00 ,3228.00 ,(0.26),(0.16),(0.23),(0.48),0.23 ,0.01 ,0.30 ,218.90 ,9438.60 ,7693.00 ,14.70 ,12.00 ,0.68 ,0.02 ,0.00 ,0.28 ,0.02 ,0.01 ,0.03 ,0.41 ,0.30 ,0.18 ,0.04 ,0.04 
Troy Hill,1.00 ,7319.00 ,6530.00 ,5141.00 ,4205.00 ,3251.00 ,2742.00 ,2540.00 ,2714.00 ,(0.18),(0.23),(0.16),(0.07),0.07 ,0.01 ,0.50 ,294.40 ,5900.00 ,5521.70 ,9.20 ,8.60 ,0.12 ,0.04 ,0.01 ,0.81 ,0.02 ,0.02 ,0.06 ,0.15 ,0.23 ,0.38 ,0.11 ,0.07 
Upper Hill,15.00 ,6071.00 ,5884.00 ,5216.00 ,4187.00 ,3190.00 ,2590.00 ,2246.00 ,2057.00 ,(0.20),(0.24),(0.19),(0.13),(0.08),0.01 ,0.30 ,200.30 ,6571.90 ,7175.70 ,10.30 ,11.20 ,0.77 ,0.01 ,0.01 ,0.18 ,0.02 ,0.01 ,0.05 ,0.16 ,0.13 ,0.40 ,0.15 ,0.11 
Upper Lawrenceville,13.00 ,6848.00 ,6164.00 ,5221.00 ,4482.00 ,3710.00 ,3328.00 ,2899.00 ,2669.00 ,(0.14),(0.17),(0.10),(0.13),(0.08),0.01 ,0.40 ,259.20 ,6590.10 ,7158.00 ,10.30 ,11.20 ,0.28 ,0.01 ,0.02 ,0.66 ,0.03 ,0.03 ,0.06 ,0.22 ,0.24 ,0.30 ,0.12 ,0.05 
West End,4.00 ,1984.00 ,1820.00 ,1702.00 ,920.00 ,604.00 ,441.00 ,466.00 ,254.00 ,(0.46),(0.34),(0.27),0.06 ,(0.45),0.00 ,0.20 ,128.00 ,1270.00 ,2330.00 ,2.00 ,3.60 ,0.37 ,0.01 ,0.01 ,0.53 ,0.07 ,0.00 ,0.00 ,0.26 ,0.29 ,0.09 ,0.27 ,0.09 
West Oakland,14.00 ,2952.00 ,4073.00 ,3658.00 ,3140.00 ,2955.00 ,1938.00 ,2272.00 ,2604.00 ,(0.14),(0.06),(0.34),0.17 ,0.15 ,0.01 ,0.20 ,137.60 ,12111.60 ,10567.40 ,18.90 ,16.50 ,0.39 ,0.06 ,0.01 ,0.53 ,0.02 ,0.02 ,0.02 ,0.39 ,0.29 ,0.17 ,0.08 ,0.05 
Westwood,4.00 ,2448.00 ,2630.00 ,3956.00 ,4603.00 ,3611.00 ,3282.00 ,3093.00 ,3066.00 ,0.16 ,(0.22),(0.09),(0.06),(0.01),0.01 ,0.70 ,442.90 ,4430.60 ,4469.70 ,6.90 ,7.00 ,0.08 ,0.06 ,0.01 ,0.83 ,0.03 ,0.01 ,0.05 ,0.17 ,0.22 ,0.38 ,0.12 ,0.06 
Windgap,4.00 ,218.00 ,740.00 ,629.00 ,534.00 ,1757.00 ,1603.00 ,1447.00 ,1369.00 ,(0.15),2.29 ,(0.09),(0.10),(0.05),0.00 ,0.40 ,265.60 ,3298.80 ,3486.70 ,5.20 ,5.40 ,0.35 ,0.01 ,0.01 ,0.62 ,0.02 ,0.01 ,0.07 ,0.13 ,0.15 ,0.34 ,0.21 ,0.10 
